Energy (cm-1)	Wavelength (nm)	Oscillator strength
29739.4789579	336.253369272	1.89130215222e-015
29679.3587174	336.934503714	1.16650265506e-015
29619.238477	337.618403248	7.17883760329e-016
29559.1182365	338.305084746	4.40824823209e-016
29498.997996	338.994565217	2.70098021897e-016
29438.8777555	339.686861811	1.65127781656e-016
29378.757515	340.381991814	1.00730781604e-016
29318.6372745	341.079972659	6.13122858663e-017
29258.5170341	341.780821918	3.72371120554e-017
29198.3967936	342.48455731	2.25656364767e-017
29138.2765531	343.191196699	1.36446445999e-017
29078.1563126	343.900758098	8.2322745511e-018
29018.0360721	344.613259669	4.95587533878e-018
28957.9158317	345.328719723	2.97689655314e-018
28897.7955912	346.047156727	1.78422609823e-018
28837.6753507	346.768589298	1.06703518198e-018
28777.5551102	347.493036212	6.36722548847e-019
28717.4348697	348.220516399	3.79109173539e-019
28657.3146293	348.951048951	2.25227212228e-019
28597.1943888	349.684653118	1.33511866216e-019
28537.0741483	350.421348315	7.89698369774e-020
28476.9539078	351.161154117	4.66063314073e-020
28416.8336673	351.904090268	2.74454800762e-020
28356.7134269	352.650176678	1.61264551405e-020
28296.5931864	353.399433428	9.45472920894e-021
28236.4729459	354.151880767	5.53097010144e-021
28176.3527054	354.907539118	3.22846062443e-021
28116.2324649	355.666429081	1.8803191858e-021
28056.1122244	356.428571429	1.09272151573e-021
27995.991984	357.193987115	6.33620439718e-022
27935.8717435	357.962697274	3.6659839839e-022
27875.751503	358.734723221	2.11637967613e-022
27815.6312625	359.510086455	1.21909673872e-022
27755.511022	360.288808664	7.00687320664e-023
27695.3907816	361.070911722	4.01838722363e-023
27635.2705411	361.856417694	2.29943257999e-023
27575.1503006	362.645348837	1.31289768227e-023
27515.0300601	363.437727604	7.47966802154e-024
27454.9098196	364.233576642	4.25182066028e-024
27394.7895792	365.0329188	2.41161881138e-024
27334.6693387	365.835777126	1.36484531247e-024
27274.5490982	366.642174871	7.70724531363e-025
27214.4288577	367.452135493	4.3426601949e-025
27154.3086172	368.265682657	2.44148109148e-025
27094.1883768	369.082840237	1.36959344888e-025
27034.0681363	369.90363232	7.66603325248e-026
26973.9478958	370.72808321	4.28144518213e-026
26913.8276553	371.556217424	2.38589141293e-026
26853.7074148	372.388059701	1.32663513291e-026
26793.5871743	373.223635004	7.36025372934e-027
26733.4669339	374.062968516	4.07450153991e-027
26673.3466934	374.90608565	2.2505907676e-027
26613.2264529	375.753012048	1.2403917357e-027
26553.1062124	376.603773585	6.82120996183e-028
26492.9859719	377.458396369	3.74286473545e-028
26432.8657315	378.316906748	2.04921226579e-028
26372.745491	379.179331307	1.11946314413e-028
26312.6252505	380.045696877	6.10200601288e-029
26252.50501	380.916030534	3.31875643261e-029
26192.3847695	381.790359602	1.80101772341e-029
26132.2645291	382.668711656	9.75215040524e-030
26072.1442886	383.551114527	5.26893126133e-030
26012.0240481	384.437596302	2.84043171829e-030
25951.9038076	385.328185328	1.52786785661e-030
25891.7835671	386.222910217	8.2002443942e-031
25831.6633267	387.121799845	4.39144350855e-031
25771.5430862	388.024883359	2.34653615083e-031
25711.4228457	388.932190179	1.25108433184e-031
25651.3026052	389.84375	6.65556992085e-032
25591.1823647	390.759592796	3.53283364444e-032
25531.0621242	391.679748823	1.87111439688e-032
25470.9418838	392.604248623	9.88818656546e-033
25410.8216433	393.533123028	5.21401247583e-033
25350.7014028	394.466403162	2.74325719426e-033
25290.5811623	395.404120444	1.44012430087e-033
25230.4609218	396.346306593	7.54349082888e-034
25170.3406814	397.292993631	3.94260833347e-034
25110.2204409	398.244213887	2.05605027918e-034
25050.1002004	399.2	1.06984927867e-034
24989.9799599	400.160384924	5.55456666917e-035
24929.8597194	401.125401929	2.8775072995e-035
24869.739479	402.095084609	1.48737780152e-035
24809.6192385	403.069466882	7.67122490343e-036
24749.498998	404.048582996	3.94772272134e-036
24689.3787575	405.032467532	2.02706194534e-036
24629.258517	406.021155411	1.03854615343e-036
24569.1382766	407.014681892	5.30912477858e-037
24509.0180361	408.013082584	2.70806049866e-037
24448.8977956	409.016393443	1.37826281773e-037
24388.7775551	410.024650781	6.99912766441e-038
24328.6573146	411.037891269	3.54645078426e-038
24268.5370741	412.056151941	1.79300729589e-038
24208.4168337	413.079470199	9.04499276635e-039
24148.2965932	414.107883817	4.55273518182e-039
24088.1763527	415.141430948	2.28651736928e-039
24028.0561122	416.180150125	1.14581504719e-039
23967.9358717	417.224080268	5.7291789905e-040
23907.8156313	418.273260687	2.8583016843e-040
23847.6953908	419.327731092	1.42285779502e-040
23787.5751503	420.387531592	7.06728556852e-041
23727.4549098	421.452702703	3.50252663669e-041
23667.3346693	422.523285351	1.73199993185e-041
23607.2144289	423.599320883	8.54578309558e-042
23547.0941884	424.680851064	4.20720221073e-042
23486.9739479	425.767918089	2.06667595391e-042
23426.8537074	426.860564585	1.01295189615e-042
23366.7334669	427.958833619	4.95384766141e-043
23306.6132265	429.062768702	2.41731818109e-043
23246.492986	430.172413793	1.17696159404e-043
23186.3727455	431.28781331	5.71778765093e-044
23126.252505	432.409012132	2.77160264988e-044
23066.1322645	433.536055604	1.34051316957e-044
23006.012024	434.668989547	6.46916652938e-045
22945.8917836	435.807860262	3.11503308221e-045
22885.7715431	436.952714536	1.49662859994e-045
22825.6513026	438.103599649	7.17467808355e-046
22765.5310621	439.26056338	3.43184575921e-046
22705.4108216	440.423654016	1.63790995307e-046
22645.2905812	441.592920354	7.79990230157e-047
22585.1703407	442.768411713	3.7061683516e-047
22525.0501002	443.950177936	1.75710584148e-047
22464.9298597	445.138269402	8.31203688015e-048
22404.8096192	446.33273703	3.9233198951e-048
22344.6893788	447.533632287	1.84772213158e-048
22284.5691383	448.741007194	8.68272893803e-049
22224.4488978	449.954914337	4.07110618092e-049
22164.3286573	451.175406872	1.90460614798e-049
22104.2084168	452.402538531	8.89066941923e-050
22044.0881764	453.636363636	4.14095235099e-050
21983.9679359	454.876937101	1.92443150296e-050
21923.8476954	456.124314442	8.92362063104e-051
21863.7274549	457.378551787	4.12872655244e-051
21803.6072144	458.639705882	1.90602014187e-051
21743.4869739	459.907834101	8.77960868295e-052
21683.3667335	461.182994455	4.03514462997e-052
21623.246493	462.465245598	1.8504582422e-052
21563.1262525	463.75464684	8.46711922733e-053
21503.006012	465.051258155	3.86570072766e-053
21442.8857715	466.355140187	1.76099010797e-053
21382.7655311	467.666354264	8.0042695096e-054
21322.6452906	468.984962406	3.63013315787e-054
21262.5250501	470.311027333	1.64270447683e-054
21202.4048096	471.644612476	7.4170690965e-055
21142.2845691	472.985781991	3.34149776841e-055
21082.1643287	474.33460076	1.5020554308e-055
21022.0440882	475.691134414	6.73700152973e-056
20961.9238477	477.055449331	3.01497143477e-056
20901.8036072	478.427612656	1.34628062501e-056
20841.6833667	479.807692308	5.99823941528e-057
20781.5631263	481.195756991	2.66653797253e-057
20721.4428858	482.591876209	1.18278959048e-057
20661.3226453	483.996120272	5.23483417789e-058
20601.2024048	485.408560311	2.31171371118e-058
20541.0821643	486.829268293	1.01859331773e-058
20480.9619238	488.258317025	4.47819727319e-059
20420.8416834	489.695780177	1.96445106439e-059
20360.7214429	491.141732283	8.5983431714e-060
20300.6012024	492.596248766	3.75512044301e-060
20240.4809619	494.059405941	1.63632089748e-060
20180.3607214	495.531281033	7.11456845954e-061
20120.240481	497.011952191	3.08648450435e-061
20060.1202405	498.501498501	1.33602647332e-061
20000.0	500.0	5.77034026895e-062
