Energy (cm-1)	Intensity
100.0	0.000881461601239
102.004008016	0.000915575481486
104.008016032	0.000954422575887
106.012024048	0.000998796196654
108.016032064	0.00104970333632
110.02004008	0.00110843020957
112.024048096	0.00117663340643
114.028056112	0.00125646905508
116.032064128	0.00135077966843
118.036072144	0.00146337493788
120.04008016	0.00159944733605
122.044088176	0.00176622800063
124.048096192	0.00197402457707
126.052104208	0.0022379476577
128.056112224	0.00258086877875
130.06012024	0.00303878099658
132.064128257	0.00367097137496
134.068136273	0.00458079809323
136.072144289	0.00596165424213
138.076152305	0.0082099577412
140.080160321	0.0122438371181
142.084168337	0.0205874294043
144.088176353	0.0421943552792
146.092184369	0.123177938163
148.096192385	0.382980138063
150.100200401	0.133662298322
152.104208417	0.0448081083596
154.108216433	0.0218635909259
156.112224449	0.0133008249104
158.116232465	0.00935959815979
160.120240481	0.00736013893038
162.124248497	0.0063690985553
164.128256513	0.00603488180786
166.132264529	0.00627314113081
168.136272545	0.00721092894673
170.140280561	0.00931255612522
172.144288577	0.0139226801693
174.148296593	0.0255985613912
176.152304609	0.0658568143845
178.156312625	0.23841971159
180.160320641	0.128829687834
182.164328657	0.0390929244459
184.168336673	0.0178543888032
186.172344689	0.0103394016623
188.176352705	0.00688811065629
190.180360721	0.00502563687041
192.184368737	0.00390622136183
194.188376754	0.00317989010364
196.19238477	0.00268102297559
198.196392786	0.00232307286933
200.200400802	0.00205723219551
202.204408818	0.00185425835662
204.208416834	0.00169575086329
206.21242485	0.00156964804046
208.216432866	0.00146776728798
210.220440882	0.00138439296279
212.224448898	0.00131543073803
214.228456914	0.00125788152218
216.23246493	0.00120950525161
218.236472946	0.00116860098206
220.240480962	0.0011338571785
222.244488978	0.00110424717423
224.248496994	0.0010789593216
226.25250501	0.00105734379031
228.256513026	0.00103887554724
230.260521042	0.00102312606759
232.264529058	0.00100974319503
234.268537074	0.000998435309157
236.27254509	0.000988959218375
238.276553106	0.000981110380962
240.280561122	0.000974717608187
242.284569138	0.00096963456599
244.288577154	0.000965737097431
246.29258517	0.000962919148151
248.296593186	0.000961089972407
250.300601202	0.000960171571933
252.304609218	0.000960096949711
254.308617234	0.000960808247328
256.312625251	0.000962255464401
258.316633267	0.000964395934716
260.320641283	0.000967192696407
262.324649299	0.000970613851678
264.328657315	0.000974632857833
266.332665331	0.000979226548225
268.336673347	0.000984375597909
270.340681363	0.000990064116195
272.344689379	0.000996279064566
274.348697395	0.00100301019847
276.352705411	0.00101024971809
278.356713427	0.00101799156982
280.360721443	0.0010262329597
282.364729459	0.00103497190867
284.368737475	0.00104420934804
286.372745491	0.00105394655839
288.376753507	0.0010641887784
290.380761523	0.00107494078111
292.384769539	0.00108621013351
294.388777555	0.00109800591599
296.392785571	0.00111033895519
298.396793587	0.00112322124187
300.400801603	0.00113666686229
302.404809619	0.00115069106687
304.408817635	0.00116531248204
306.412825651	0.00118054868653
308.416833667	0.00119642284699
310.420841683	0.00121295638382
312.424849699	0.00123017572332
314.428857715	0.00124810775742
316.432865731	0.0012667827541
318.436873747	0.00128623272758
320.440881764	0.00130649318453
322.44488978	0.00132760195993
324.448897796	0.00134959910065
326.452905812	0.00137253059074
328.456913828	0.00139644276351
330.460921844	0.00142138870433
332.46492986	0.00144742371049
334.468937876	0.00147460901644
336.472945892	0.00150300993118
338.476953908	0.00153269839939
340.480961924	0.00156375137158
342.48496994	0.0015962527832
344.488977956	0.00163029495161
346.492985972	0.00166597636417
348.496993988	0.0017034066841
350.501002004	0.00174270442221
352.50501002	0.00178399903234
354.509018036	0.00182743230835
356.513026052	0.00187316199299
358.517034068	0.00192135921679
360.521042084	0.00197221455164
362.5250501	0.0020259374287
364.529058116	0.00208276114427
366.533066132	0.00214294460602
368.537074148	0.0022067760583
370.541082164	0.00227457960136
372.54509018	0.0023467191495
374.549098196	0.00242360401899
376.553106212	0.00250569963828
378.557114228	0.00259353662841
380.561122244	0.00268772337586
382.565130261	0.0027889595367
384.569138277	0.00289806374349
386.573146293	0.00301599106751
388.577154309	0.00314387795515
390.581162325	0.0032830843702
392.585170341	0.00343526480719
394.589178357	0.00360246212222
396.593186373	0.00378724955954
398.597194389	0.00399294123054
400.601202405	0.00422392506152
402.605210421	0.00448619527742
404.609218437	0.00478826835752
406.613226453	0.00514281261712
408.617234469	0.00556975277141
410.621242485	0.00610258569941
412.625250501	0.00680248858407
414.629258517	0.00779341021553
416.633266533	0.0093629444018
418.637274549	0.0123154316097
420.641282565	0.0196104515344
422.645290581	0.0472169145942
424.649298597	0.11049810797
426.653306613	0.0393005721271
428.657314629	0.0202486477792
430.661322645	0.0157420635223
432.665330661	0.0147098368034
434.669338677	0.0149766206741
436.673346693	0.0159573853016
438.677354709	0.0174882188439
440.681362725	0.0195649620146
442.685370741	0.0222760662436
444.689378758	0.0257956888527
446.693386774	0.0304089263082
448.69739479	0.0365722589195
450.701402806	0.0450334772468
452.705410822	0.0570741333067
454.709418838	0.075031273067
456.713426854	0.103531673551
458.71743487	0.152794152498
460.721442886	0.249077498913
462.725450902	0.476529657841
464.729458918	1.21185064316
466.733466934	4.50799179077
468.73747495	3.27153587341
470.741482966	0.938761472702
472.745490982	0.413788318634
474.749498998	0.242930024862
476.753507014	0.177477240562
478.75751503	0.162936910987
480.761523046	0.200896397233
482.765531062	0.375374794006
484.769539078	1.21653938293
486.773547094	1.38713800907
488.77755511	0.391380041838
490.781563126	0.168172210455
492.785571142	0.0955379158258
494.789579158	0.0632576867938
496.793587174	0.0459251068532
498.79759519	0.0354050844908
