Energy (eV)	DOS
-20.0	0.00161809703999
-19.797979798	0.122608895128
-19.595959596	0.898420470081
-19.3939393939	0.554489876613
-19.1919191919	0.525874049705
-18.9898989899	0.919894209431
-18.7878787879	0.136794768021
-18.5858585859	0.00576258140561
-18.3838383838	0.224441620152
-18.1818181818	0.989837849227
-17.9797979798	0.353152666254
-17.7777777778	0.0101928491195
-17.5757575758	2.37992556695e-005
-17.3737373737	4.49537396857e-009
-17.1717171717	6.86931702056e-014
-16.9696969697	8.12065108268e-013
-16.7676767677	3.17932964143e-008
-16.5656565657	0.000100696641448
-16.3636363636	0.0258005571947
-16.1616161616	0.534783325497
-15.9595959596	0.896729210208
-15.7575757576	0.121734960884
-15.5555555556	0.0260584760903
-15.3535353535	0.525396616338
-15.1515151515	0.903223726451
-14.9494949495	0.126386928999
-14.7474747475	0.0903560536495
-14.5454545455	0.828127946024
-14.3434343434	0.625192328141
-14.1414141414	0.164682628736
-13.9393939394	0.905088672613
-13.7373737374	0.522933177488
-13.5353535354	0.0244470083075
-13.3333333333	9.24570708677e-005
-13.1313131313	5.91133244936e-007
-12.9292929293	0.000792397285782
-12.7272727273	0.0902466337544
-12.5252525253	0.8315294343
-12.3232323232	0.635389384253
-12.1212121212	0.468145374257
-11.9191919192	0.959579605298
-11.7171717172	0.172963090714
-11.5151515152	0.0296680762881
-11.3131313131	0.546984150394
-11.1111111111	1.00701011175
-10.9090909091	1.52391993899
-10.7070707071	1.49287648362
-10.5050505051	0.176785324392
-10.303030303	0.610628360551
-10.101010101	0.840079965779
-9.89898989899	0.121960549014
-9.69696969697	0.693575015336
-9.49494949495	1.83491863922
-9.29292929293	0.586645161589
-9.09090909091	0.14292836537
-8.88888888889	0.903498713252
-8.68686868687	0.764942100585
-8.48484848485	1.01849655869
-8.28282828283	0.389413719748
-8.08080808081	0.807665629025
-7.87878787879	1.69309539272
-7.67676767677	0.596363420816
-7.47474747475	0.0834466574148
-7.27272727273	0.728443514798
-7.07070707071	0.732213369197
-6.86868686869	0.0595482148764
-6.66666666667	0.000391773055613
-6.46464646465	7.61992268722e-007
-6.26262626263	0.000783083135942
-6.06060606061	0.0896292717451
-5.85858585859	0.829987710136
-5.65656565657	0.64511110104
-5.45454545455	0.551759374929
-5.25252525253	0.911024778755
-5.05050505051	0.130550848776
-4.84848484848	0.00151431519096
-4.64646464646	0.000805519118565
-4.44444444444	0.0910174533851
-4.24242424242	0.833440100398
-4.0404040404	0.617388844677
-3.83838383838	0.0369979649597
-3.63636363636	0.000179362466792
-3.43434343434	7.03428520015e-008
-3.23232323232	2.23173718502e-012
-3.0303030303	5.72797085708e-018
-2.82828282828	1.18930493934e-024
-2.62626262626	1.99765422576e-032
-2.42424242424	2.71445150324e-041
-2.22222222222	2.98386058928e-051
-2.0202020202	2.65344226617e-062
-1.81818181818	1.90886594407e-074
-1.61616161616	1.11090376358e-087
-1.41414141414	6.94633134653e-080
-1.21212121212	2.7833070623e-067
-1.0101010101	9.02197086495e-056
-0.808080808081	2.36579109006e-045
-0.606060606061	5.01863991359e-036
-0.40404040404	8.61252218333e-028
-0.20202020202	1.19566452393e-020
0.0	1.34283609569e-014
